O1;ASM;;;
1538;1152;;;
2641;2892;;985,271917703055;O1
2648;1931;;846,11198156682;ASM
817;744;;;
1369;877;;;
1841;1125;;;
1082;825;;;
813;769;;;
797;631;;;
1923;1516;;;
1028;888;;;
2560;2064;;;
1058;507;;;
3750;2550;;;
1835;1145;;;
1615;1581;;;
708;655;;;
1705;1496;;;
995;886;;;
762;580;;;
1097;995;;;
1350;1222;;;
1891;1776;;;
793;533;;;
1190;914;;;
1710;1338;;;
902;582;;;
1423;1076;;;
1002;608;;;
1220;900;;;
1486;1182;;;
663;320;;;
1095;855;;;
4397;2418;;;
1756;1585;;;
667;334;;;
852;556;;;
1494;1109;;;
730;442;;;
835;640;;;
1800;1117;;;
1581;975;;;
860;596;;;
1196;865;;;
1285;1650;;;
1354;790;;;
782;647;;;
1737;835;;;
1068;720;;;
2623;1500;;;
1107;691;;;
1572;721;;;
1515;1156;;;
1504;788;;;
1352;1441;;;
2870;2108;;;
975;602;;;
1248;758;;;
1974;1548;;;
906;789;;;
2637;2807;;;
1425;1060;;;
1137;626;;;
1114;1092;;;
1514;928;;;
2453;1747;;;
2313;1427;;;
825;813;;;
1620;857;;;
659;350;;;
1050;592;;;
892;496;;;
1210;735;;;
1743;1267;;;
1753;1107;;;
896;235;;;
2134;2130;;;
1690;1138;;;
1575;1172;;;
1295;1123;;;
1346;405;;;
1670;1026;;;
1068;1194;;;
1190;517;;;
1040;543;;;
1173;658;;;
1715;917;;;
768;509;;;
2022;1117;;;
3387;1623;;;
1918;1303;;;
1752;1141;;;
1650;963;;;
1005;865;;;
1299;1215;;;
1070;484;;;
1038;675;;;
1378;817;;;
1272;598;;;
1221;960;;;
2079;967;;;
1267;973;;;
2155;1314;;;
1188;711;;;
1485;732;;;
2238;1988;;;
1560;1445;;;
1093;697;;;
1894;1421;;;
1960;1097;;;
1123;777;;;
1844;813;;;
1275;626;;;
711;419;;;
1519;1030;;;
1970;1050;;;
1060;892;;;
858;388;;;
835;525;;;
1198;795;;;
929;521;;;
1050;460;;;
1470;1263;;;
809;440;;;
2362;1441;;;
1585;965;;;
727;432;;;
845;657;;;
718;390;;;
710;488;;;
1668;1100;;;
2550;1544;;;
1381;1125;;;
845;383;;;
734;487;;;
2262;1253;;;
1172;596;;;
35171;217;;;
1320;894;;;
979;715;;;
1551;1425;;;
983;671;;;
1305;890;;;
1275;1459;;;
1056;723;;;
1106;713;;;
2081;1978;;;
1166;851;;;
1769;1237;;;
1072;1464;;;
1111;535;;;
2047;1145;;;
1681;714;;;
962;300;;;
1920;1183;;;
1271;837;;;
4636;2478;;;
1709;614;;;
1072;478;;;
2386;841;;;
1070;458;;;
1214;991;;;
1099;460;;;
3720;1558;;;
1601;790;;;
861;581;;;
2345;995;;;
3811;1869;;;
4115;1970;;;
1448;768;;;
1267;525;;;
2136;687;;;
3365;1462;;;
1332;586;;;
2921;987;;;
4590;1484;;;
1597;564;;;
1764;772;;;
2333;940;;;
2773;1500;;;
2806;939;;;
6225;1158;;;
3387;833;;;
2400;535;;;
2633;1048;;;
2739;898;;;
3936;1755;;;
3309;1294;;;
2118;657;;;
2298;1220;;;
1526;732;;;
2122;906;;;
1139;440;;;
2439;722;;;
3109;705;;;
1267;442;;;
867;422;;;
2934;789;;;
2872;862;;;
2889;827;;;
1327;653;;;
2017;535;;;
1491;497;;;
2148;925;;;
1015;537;;;
2402;880;;;
4035;1267;;;
1739;580;;;
3852;2013;;;
1200;547;;;
4520;1650;;;
1064;482;;;
1962;1012;;;
3338;910;;;
1283;410;;;
1111;415;;;
949;350;;;
2844;1145;;;
1406;829;;;
2884;1306;;;
2378;1571;;;
1206;531;;;
954;648;;;
2175;610;;;
6138;803;;;
1896;391;;;
2140;594;;;
4743;1216;;;
4863;1753;;;
1908;890;;;
5880;2007;;;
1619;561;;;
3711;1848;;;
2295;933;;;
1328;476;;;
2357;856;;;
1946;1176;;;
2250;1048;;;
1364;853;;;
658;313;;;
1843;1010;;;
1798;1062;;;
2011;1007;;;
1009;450;;;
1997;825;;;
2507;1527;;;
1350;612;;;
1382;505;;;
2524;1105;;;
2081;872;;;
1449;584;;;
2568;1144;;;
1013;533;;;
880;403;;;
967;415;;;
1289;434;;;
1712;813;;;
2098;677;;;
1729;892;;;
1727;594;;;
5388;1697;;;
1985;813;;;
1006;525;;;
1540;475;;;
2082;792;;;
1342;408;;;
3479;1409;;;
1860;543;;;
2294;693;;;
1226;345;;;
2540;798;;;
2860;877;;;
1496;678;;;
1739;644;;;
2536;1258;;;
1012;513;;;
1954;547;;;
785;517;;;
2025;1318;;;
2635;1287;;;
1464;478;;;
2868;1567;;;
2625;569;;;
3732;1066;;;
2002;450;;;
3247;1322;;;
1737;910;;;
1105;419;;;
2728;1075;;;
1261;405;;;
2727;865;;;
2948;1118;;;
3028;1006;;;
1968;991;;;
1277;375;;;
1499;533;;;
3919;1820;;;
4443;1978;;;
1557;553;;;
1980;560;;;
3454;1100;;;
2550;1077;;;
1524;671;;;
1785;560;;;
1780;731;;;
3690;1956;;;
2423;1125;;;
1798;535;;;
4487;2114;;;
5947;1665;;;
1597;581;;;
1147;535;;;
1893;846;;;
3722;1961;;;
4078;1157;;;
1713;575;;;
3470;1082;;;
2549;1038;;;
3290;1425;;;
1849;679;;;
2827;965;;;
1152;739;;;
2947;1599;;;
2422;985;;;
5311;1457;;;
1348;442;;;
1713;752;;;
3896;1394;;;
1036;423;;;
3164;1153;;;
1050;889;;;
1589;665;;;
827;450;;;
908;529;;;
3342;1125;;;
4624;1595;;;
1911;815;;;
1958;430;;;
2167;917;;;
2305;898;;;
1200;468;;;
1261;555;;;
1338;623;;;
1819;1072;;;
2884;1056;;;
4940;933;;;
2550;833;;;
2836;797;;;
2264;596;;;
4875;1335;;;
3383;2633;;;
898;474;;;
1682;406;;;
1227;618;;;
772;319;;;
874;430;;;
1518;800;;;
1462;770;;;
3018;1040;;;
2988;881;;;
922;381;;;
1125;385;;;
736;539;;;
1633;564;;;
2337;1198;;;
1398;998;;;
701;308;;;
1019;428;;;
1040;521;;;
2591;983;;;
1314;642;;;
2945;1153;;;
1737;1200;;;
2305;890;;;
1504;622;;;
1496;675;;;
1350;1085;;;
1113;332;;;
1937;685;;;
1814;683;;;
2886;758;;;
1557;580;;;
969;550;;;
1875;817;;;
1989;651;;;
4060;1058;;;
1585;699;;;
2298;892;;;
1186;328;;;
1713;549;;;
2775;880;;;
614;470;;;
2842;1135;;;
3269;1488;;;
3626;1194;;;
861;356;;;
999;515;;;
1176;434;;;
1788;673;;;
2765;1038;;;
1462;545;;;
926;360;;;
1309;450;;;
951;395;;;
932;423;;;
1208;483;;;
1587;498;;;
2986;1518;;;
2481;406;;;
2183;1127;;;
5232;1267;;;
3758;1218;;;
931;314;;;
2907;964;;;
802;355;;;
1972;887;;;
3813;1585;;;
2057;752;;;
2057;1028;;;
3314;902;;;
4336;1185;;;
2173;947;;;
2219;515;;;
2714;967;;;
934;470;;;
1076;495;;;
2094;663;;;
2386;647;;;
1611;548;;;
1640;497;;;
1174;525;;;
2422;894;;;
995;351;;;
3000;1634;;;
4200;1707;;;
1924;588;;;
2461;1295;;;
1350;508;;;
2850;809;;;
2100;386;;;
1261;664;;;
1616;448;;;
2802;1376;;;
987;329;;;
813;332;;;
4609;1814;;;
948;408;;;
896;407;;;
3843;1248;;;
1442;410;;;
2702;975;;;
2104;621;;;
1102;603;;;
876;328;;;
1575;387;;;
1492;386;;;
1912;620;;;
2702;1125;;;
3653;1415;;;
2775;1069;;;
1575;474;;;
1917;718;;;
1688;523;;;
3116;1579;;;
1469;492;;;
